time,temp_w(c)
0.0,19.3
0.09623430962343096,19.2882457296
0.19246861924686193,19.268381471
0.2887029288702929,19.241270788
0.38493723849372385,19.207777244
0.4811715481171548,19.1687644025
0.5774058577405858,19.1250958272
0.6736401673640168,19.0776350815
0.7698744769874477,19.0272457291
0.8661087866108786,18.9747913333
0.9623430962343096,18.9211354579
1.0585774058577406,18.8671416663
1.1548117154811717,18.813673522
1.2510460251046025,18.7615945887
1.3472803347280335,18.7117684298
1.4435146443514644,18.665058609
1.5397489539748954,18.6223286897
1.6359832635983265,18.5844422355
1.7322175732217573,18.5522628099
1.8284518828451883,18.5266539765
1.9246861924686192,18.5084792988
2.0209205020920504,18.4985989622
2.1171548117154813,18.4972933898
2.213389121338912,18.5036108076
2.3096234309623433,18.5164418261
2.405857740585774,18.5346770555
2.502092050209205,18.5572071063
2.598326359832636,18.5829225887
2.694560669456067,18.6107141131
2.790794979079498,18.6394722898
2.8870292887029287,18.6680877292
2.98326359832636,18.6954510416
3.079497907949791,18.7205411769
3.1757322175732217,18.7429379325
3.271966527196653,18.7624713132
3.3682008368200838,18.7789721481
3.4644351464435146,18.7922712661
3.560669456066946,18.8021994963
3.6569037656903767,18.8085876676
3.7531380753138075,18.8112666092
3.8493723849372383,18.81006715
3.9456066945606696,18.804820119
4.041841004184101,18.7953684788
4.138075313807532,18.7819426989
4.2343096234309625,18.7652327196
4.330543933054393,18.7459551384
4.426778242677824,18.724826553
4.523012552301255,18.7025635608
4.619246861924687,18.6798827595
4.7154811715481175,18.6575007465
4.811715481171548,18.6361341195
4.907949790794979,18.616499476
5.00418410041841,18.5993134034
5.100418410041841,18.5851523758
5.196652719665272,18.5741008183
5.292887029288703,18.5661352015
5.389121338912134,18.5612319963
5.485355648535565,18.5593676735
5.581589958158996,18.5605187039
5.677824267782427,18.5646615583
5.7740585774058575,18.5717727075
5.870292887029289,18.5818286224
5.96652719665272,18.5948057736
6.062761506276151,18.6106529415
6.158995815899582,18.6289794661
6.2552301255230125,18.6491670673
6.351464435146443,18.6705932645
6.447698744769874,18.6926355768
6.543933054393306,18.7146715234
6.640167364016737,18.7360786237
6.7364016736401675,18.7562343968
6.832635983263598,18.7745163619
6.928870292887029,18.7903020384
7.02510460251046,18.8029718954
7.121338912133892,18.8122276804
7.2175732217573225,18.8183767974
7.313807531380753,18.8217937467
7.410041841004184,18.8228530284
7.506276150627615,18.8219291427
7.602510460251046,18.8193965898
7.698744769874477,18.81562987
7.794979079497908,18.8110034834
7.891213389121339,18.8058919303
7.98744769874477,18.800669711
8.083682008368202,18.7956915403
8.179916317991632,18.791194642
8.276150627615063,18.7873730387
8.372384937238493,18.7844206864
8.468619246861925,18.782531541
8.564853556485355,18.7818995584
8.661087866108787,18.7827186946
8.757322175732218,18.7851829055
8.853556485355648,18.789486147
8.94979079497908,18.7958223751
9.04602510460251,18.8043805354
9.142259414225942,18.8152216614
9.238493723849373,18.82827141
9.334728033472803,18.8434489332
9.430962343096235,18.8606733832
9.527196652719665,18.8798639119
9.623430962343097,18.9009396714
9.719665271966527,18.9238198139
9.815899581589958,18.9484234913
9.91213389121339,18.9746698557
10.00836820083682,19.0024779651
10.104602510460252,19.0315833565
10.200836820083682,19.0611549864
10.297071129707113,19.0902528148
10.393305439330543,19.1179368012
10.489539748953975,19.1432669056
10.585774058577407,19.1653030877
10.682008368200837,19.1831053074
10.778242677824268,19.1957335242
10.874476987447698,19.2022476982
10.97071129707113,19.201707789
11.06694560669456,19.1932919963
11.163179916317992,19.1774179303
11.259414225941423,19.1552430082
11.355648535564853,19.1279345489
11.451882845188285,19.0966598712
11.548117154811715,19.0625862936
11.644351464435147,19.026881135
11.740585774058578,18.9907117141
11.836820083682008,18.9552453497
11.93305439330544,18.9216493605
12.02928870292887,18.891085646
12.125523012552302,18.8643111989
12.221757322175732,18.8414046649
12.317991631799163,18.8223799752
12.414225941422595,18.8072510612
12.510460251046025,18.7960318543
12.606694560669457,18.7887362856
12.702928870292887,18.7853782866
12.799163179916318,18.7859717886
12.895397489539748,18.7905307228
12.99163179916318,18.7990690207
13.087866108786612,18.8114436913
13.184100418410042,18.8266960404
13.280334728033473,18.8436031594
13.376569037656903,18.8609420044
13.472803347280335,18.8774895313
13.569037656903767,18.8920226961
13.665271966527197,18.9033184547
13.761506276150628,18.9101537632
13.857740585774058,18.9113055774
13.95397489539749,18.9055508535
14.05020920502092,18.8917223655
14.146443514644352,18.8698145703
14.242677824267783,18.8409195525
14.338912133891213,18.8061723907
14.435146443514645,18.7667081636
14.531380753138075,18.7236619501
14.627615062761507,18.6781688286
14.723849372384937,18.6313638781
14.820083682008368,18.5843821771
14.9163179916318,18.5383588043
15.01255230125523,18.4944283785
15.108786610878662,18.4534278713
15.205020920502092,18.4153847564
15.301255230125523,18.3801901911
15.397489539748953,18.3477353327
15.493723849372385,18.3179113385
15.589958158995817,18.2906093656
15.686192468619247,18.2657205715
15.782426778242678,18.2431361133
15.878661087866108,18.2227471483
15.97489539748954,18.2044448338
16.07112970711297,18.1881165498
16.167364016736403,18.1736155796
16.263598326359833,18.1607771194
16.359832635983263,18.1494361995
16.456066945606693,18.1394278501
16.552301255230127,18.1305871014
16.648535564853557,18.1227489835
16.744769874476987,18.1157485269
16.84100418410042,18.1094207615
16.93723849372385,18.1036007177
17.03347280334728,18.0981224734
17.12970711297071,18.0927685042
17.225941422594143,18.0872443334
17.322175732217573,18.081249207
17.418410041841003,18.0744823708
17.514644351464437,18.0666430706
17.610878661087867,18.0574305523
17.707112970711297,18.0465440617
