time,temp(c)
0.0,29.6967391304
0.09623430962343096,29.6725299956
0.19246861924686193,29.6487326298
0.2887029288702929,29.6253546374
0.38493723849372385,29.6024036229
0.4811715481171548,29.5798871908
0.5774058577405858,29.5578129456
0.6736401673640168,29.5361884917
0.7698744769874477,29.5150214335
0.8661087866108786,29.4943193755
0.9623430962343096,29.4740899223
1.0585774058577406,29.4543406782
1.1548117154811717,29.4350792477
1.2510460251046025,29.4163132353
1.3472803347280335,29.3980502455
1.4435146443514644,29.3802978827
1.5397489539748954,29.3630637513
1.6359832635983265,29.3463554559
1.7322175732217573,29.3301806009
1.8284518828451883,29.3145467908
1.9246861924686192,29.29946163
2.0209205020920504,29.2849325652
2.1171548117154813,29.2709399716
2.213389121338912,29.2574066877
2.3096234309623433,29.2442481921
2.405857740585774,29.2313799636
2.502092050209205,29.218717481
2.598326359832636,29.2061762229
2.694560669456067,29.193671668
2.790794979079498,29.1811192952
2.8870292887029287,29.1684345831
2.98326359832636,29.1555330104
3.079497907949791,29.1423450192
3.1757322175732217,29.1289028251
3.271966527196653,29.115281025
3.3682008368200838,29.1015543552
3.4644351464435146,29.0877975521
3.560669456066946,29.074085352
3.6569037656903767,29.0604924913
3.7531380753138075,29.0470937064
3.8493723849372383,29.0339637337
3.9456066945606696,29.0211773095
4.041841004184101,29.0088079162
4.138075313807532,28.9968889893
4.2343096234309625,28.9854064801
4.330543933054393,28.9743435848
4.426778242677824,28.9636834999
4.523012552301255,28.9534094217
4.619246861924687,28.9435045465
4.7154811715481175,28.9339520708
4.811715481171548,28.9247351909
4.907949790794979,28.9158371031
5.00418410041841,28.9072410018
5.100418410041841,28.8989021294
5.196652719665272,28.8906775663
5.292887029288703,28.8824028569
5.389121338912134,28.8739135453
5.485355648535565,28.8650451757
5.581589958158996,28.8556332924
5.677824267782427,28.8455134395
5.7740585774058575,28.8345211613
5.870292887029289,28.8224920019
5.96652719665272,28.8092615056
6.062761506276151,28.7947182506
6.158995815899582,28.7794009261
6.2552301255230125,28.7642841691
6.351464435146443,28.7503506621
6.447698744769874,28.7385830873
6.543933054393306,28.7299641273
6.640167364016737,28.7254764644
6.7364016736401675,28.7261027811
6.832635983263598,28.7328257598
6.928870292887029,28.7466280828
7.02510460251046,28.7684889235
7.121338912133892,28.7990052736
7.2175732217573225,28.8380536572
7.313807531380753,28.8854307831
7.410041841004184,28.94093336
7.506276150627615,29.0043580967
7.602510460251046,29.0755017019
7.698744769874477,29.1541608845
7.794979079497908,29.2401323531
7.891213389121339,29.3332128166
7.98744769874477,29.4331989836
8.083682008368202,29.5397861666
8.179916317991632,29.6520675483
8.276150627615063,29.7689149124
8.372384937238493,29.8891997007
8.468619246861925,30.0117933545
8.564853556485355,30.1355673156
8.661087866108787,30.2593930255
8.757322175732218,30.3821419257
8.853556485355648,30.5026854578
8.94979079497908,30.6198950634
9.04602510460251,30.7326650531
9.142259414225942,30.8404735778
9.238493723849373,30.9434167
9.334728033472803,31.0416201728
9.430962343096235,31.135209749
9.527196652719665,31.2243111815
9.623430962343097,31.3090502233
9.719665271966527,31.3895526272
9.815899581589958,31.4659441463
9.91213389121339,31.5383505334
10.00836820083682,31.6068975682
10.104602510460252,31.6717631585
10.200836820083682,31.7332861469
10.297071129707113,31.7918363358
10.393305439330543,31.8477835278
10.489539748953975,31.9014975252
10.585774058577407,31.9533481307
10.682008368200837,32.0037051466
10.778242677824268,32.0529383754
10.874476987447698,32.1014176197
10.97071129707113,32.1495126819
11.06694560669456,32.1975533325
11.163179916317992,32.245449719
11.259414225941423,32.292861515
11.355648535564853,32.3394450419
11.451882845188285,32.3848566212
11.548117154811715,32.4287525741
11.644351464435147,32.470789222
11.740585774058578,32.5106228863
11.836820083682008,32.5479098883
11.93305439330544,32.5823065494
12.02928870292887,32.6134721956
12.125523012552302,32.6412906485
12.221757322175732,32.666021831
12.317991631799163,32.6879615462
12.414225941422595,32.7074055969
12.510460251046025,32.7246497861
12.606694560669457,32.7399899167
12.702928870292887,32.7537217918
12.799163179916318,32.7661412143
12.895397489539748,32.7775439872
12.99163179916318,32.7882259134
13.087866108786612,32.798433149
13.184100418410042,32.8081537788
13.280334728033473,32.8172922958
13.376569037656903,32.82575315
13.472803347280335,32.8334407917
13.569037656903767,32.8402596709
13.665271966527197,32.8461142376
13.761506276150628,32.8509089421
13.857740585774058,32.8545482345
13.95397489539749,32.8569365647
14.05020920502092,32.8579818643
14.146443514644352,32.8576645169
14.242677824267783,32.8560333633
14.338912133891213,32.8531399261
14.435146443514645,32.8490357275
14.531380753138075,32.8437722901
14.627615062761507,32.837401136
14.723849372384937,32.8299737879
14.820083682008368,32.821541768
14.9163179916318,32.8121565987
15.01255230125523,32.8018695834
15.108786610878662,32.7905903287
15.205020920502092,32.7778430738
15.301255230125523,32.7630871637
15.397489539748953,32.7457819434
15.493723849372385,32.725386758
15.589958158995817,32.7013609523
15.686192468619247,32.6731638713
15.782426778242678,32.64025486
15.878661087866108,32.6020932634
15.97489539748954,32.5581384264
16.07112970711297,32.5079491395
16.167364016736403,32.4519818534
16.263598326359833,32.391169195
16.359832635983263,32.3264481634
16.456066945606693,32.2587557576
16.552301255230127,32.1890289767
16.648535564853557,32.1182048196
16.744769874476987,32.0472202855
16.84100418410042,31.9770123733
16.93723849372385,31.9085180821
17.03347280334728,31.8426660533
17.12970711297071,31.7799320622
17.225941422594143,31.7201165437
17.322175732217573,31.6629648404
17.418410041841003,31.608222295
17.514644351464437,31.5556342501
17.610878661087867,31.5049460485
17.707112970711297,31.4559030328
