time,temp(c)
0.0,18.11
0.09623430962343096,18.0951423353
0.19246861924686193,18.0800111679
0.2887029288702929,18.0646224724
0.38493723849372385,18.0489922234
0.4811715481171548,18.0331363955
0.5774058577405858,18.0170709632
0.6736401673640168,18.0008119011
0.7698744769874477,17.9843751838
0.8661087866108786,17.9677767859
0.9623430962343096,17.9510326819
1.0585774058577406,17.9341588464
1.1548117154811717,17.917171254
1.2510460251046025,17.9000858793
1.3472803347280335,17.8829186968
1.4435146443514644,17.8656856811
1.5397489539748954,17.8484028069
1.6359832635983265,17.8310860486
1.7322175732217573,17.8137513808
1.8284518828451883,17.7964147781
1.9246861924686192,17.7790922152
2.0209205020920504,17.7617996041
2.1171548117154813,17.7445421514
2.213389121338912,17.7273023099
2.3096234309623433,17.7100596221
2.405857740585774,17.6927936306
2.502092050209205,17.6754838777
2.598326359832636,17.6581099059
2.694560669456067,17.6406512577
2.790794979079498,17.6230874755
2.8870292887029287,17.6053981017
2.98326359832636,17.587562679
3.079497907949791,17.5695666263
3.1757322175732217,17.5514353335
3.271966527196653,17.5332108353
3.3682008368200838,17.5149352212
3.4644351464435146,17.4966505806
3.560669456066946,17.4783990029
3.6569037656903767,17.4602225776
3.7531380753138075,17.4421633942
3.8493723849372383,17.4242635421
3.9456066945606696,17.4065651108
4.041841004184101,17.3891092964
4.138075313807532,17.3719087635
4.2343096234309625,17.3549423467
4.330543933054393,17.3381869181
4.426778242677824,17.3216193494
4.523012552301255,17.3052165126
4.619246861924687,17.2889552795
4.7154811715481175,17.2728125222
4.811715481171548,17.2567651125
4.907949790794979,17.2407899224
5.00418410041841,17.2248638263
5.100418410041841,17.2090001185
5.196652719665272,17.1933399921
5.292887029288703,17.1780527007
5.389121338912134,17.1633074977
5.485355648535565,17.1492736367
5.581589958158996,17.1361203714
5.677824267782427,17.1240169552
5.7740585774058575,17.1131326418
5.870292887029289,17.1036366848
5.96652719665272,17.0956983377
6.062761506276151,17.0894655548
6.158995815899582,17.0848251973
6.2552301255230125,17.0814890435
6.351464435146443,17.079165641
6.447698744769874,17.0775635369
6.543933054393306,17.0763912787
6.640167364016737,17.0753574136
6.7364016736401675,17.0741704891
6.832635983263598,17.0725390525
6.928870292887029,17.0701716511
7.02510460251046,17.0667793248
7.121338912133892,17.0623445763
7.2175732217573225,17.0573616549
7.313807531380753,17.0523815026
7.410041841004184,17.0479550616
7.506276150627615,17.0446332737
7.602510460251046,17.0429670811
7.698744769874477,17.0435074257
7.794979079497908,17.0468052498
7.891213389121339,17.0534114952
7.98744769874477,17.063877104
8.083682008368202,17.0786914345
8.179916317991632,17.0979781379
8.276150627615063,17.1217263972
8.372384937238493,17.1499251875
8.468619246861925,17.1825634842
8.564853556485355,17.2196302622
8.661087866108787,17.2611144969
8.757322175732218,17.3070051635
8.853556485355648,17.3572912371
8.94979079497908,17.411961693
9.04602510460251,17.4709961413
9.142259414225942,17.534135109
9.238493723849373,17.6008660866
9.334728033472803,17.6706644069
9.430962343096235,17.7430054024
9.527196652719665,17.8173644056
9.623430962343097,17.8932167493
9.719665271966527,17.9700377658
9.815899581589958,18.0473027879
9.91213389121339,18.1244871481
10.00836820083682,18.2010662605
10.104602510460252,18.2766746594
10.200836820083682,18.3514381271
10.297071129707113,18.4255769503
10.393305439330543,18.499311416
10.489539748953975,18.572861811
10.585774058577407,18.6464484222
10.682008368200837,18.7202915364
10.778242677824268,18.7946114404
10.874476987447698,18.8696284212
10.97071129707113,18.9455627656
11.06694560669456,19.0226053994
11.163179916317992,19.1006394819
11.259414225941423,19.1793644656
11.355648535564853,19.2584773442
11.451882845188285,19.3376751115
11.548117154811715,19.4166547614
11.644351464435147,19.4951132876
11.740585774058578,19.572747684
11.836820083682008,19.6492549443
11.93305439330544,19.7243320623
12.02928870292887,19.7976774253
12.125523012552302,19.8690935328
12.221757322175732,19.9385573054
12.317991631799163,20.0060623033
12.414225941422595,20.0716020869
12.510460251046025,20.1351702165
12.606694560669457,20.1967602525
12.702928870292887,20.2563657552
